epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2617,1.16283,2.08538,1.39732,0.97136,0.36635,0.58739,0.37264,1.17906,2.4326,1.72283,0.000546847,0.000546847,0.000546847
2,66.7552,1.13138,1.45743,1.39032,0.54064,0.61434,0.68767,0.32211,1.60731,1.94991,2.38506,0.00108068,0.00108068,0.00108068
3,94.8007,1.19704,1.37517,1.43188,0.58706,0.66577,0.66475,0.33302,1.52181,2.22967,2.02421,0.00159252,0.00159252,0.00159252
4,122.756,1.20843,1.30496,1.44488,0.69525,0.66689,0.68783,0.32547,1.56733,2.17657,2.011,0.00156798,0.00156798,0.00156798
5,150.999,1.18779,1.18377,1.40088,0.59705,0.58074,0.57572,0.25291,1.91015,1.91867,2.35956,0.00153497,0.00153497,0.00153497
6,178.992,1.16385,1.13931,1.41788,0.8637,0.77628,0.8372,0.4852,1.38328,1.24459,1.85757,0.00150197,0.00150197,0.00150197
7,206.769,1.17402,1.09255,1.4013,0.70848,0.78643,0.77406,0.47037,1.2949,1.40539,1.71404,0.00146896,0.00146896,0.00146896
8,234.466,1.10065,0.98089,1.36282,0.81166,0.78367,0.85,0.47708,1.28985,1.41666,1.66924,0.00143595,0.00143595,0.00143595
9,262.253,1.11772,0.95892,1.3446,0.84675,0.79077,0.88883,0.52109,1.38041,1.12758,1.78842,0.00140295,0.00140295,0.00140295
10,290.096,1.08482,0.93176,1.33665,0.79621,0.69016,0.78578,0.43572,1.42473,1.2799,1.74535,0.00136994,0.00136994,0.00136994
11,318.373,1.05168,0.85552,1.31838,0.85921,0.81838,0.88801,0.55101,1.26454,0.95161,1.64303,0.00133693,0.00133693,0.00133693
12,346.196,1.02084,0.81897,1.28821,0.87587,0.83143,0.90648,0.59402,1.1261,0.85093,1.49059,0.00130393,0.00130393,0.00130393
13,373.994,1.05471,0.84845,1.31354,0.90577,0.83604,0.90528,0.57655,1.20181,0.91646,1.57604,0.00127092,0.00127092,0.00127092
14,401.75,1.01558,0.8088,1.30317,0.86514,0.85419,0.89581,0.60632,1.09515,0.87568,1.4762,0.00123791,0.00123791,0.00123791
15,429.359,0.99237,0.79148,1.28076,0.88562,0.85339,0.92377,0.62414,1.11001,0.74407,1.47319,0.00120491,0.00120491,0.00120491
16,457.138,0.99022,0.72851,1.26143,0.8771,0.82091,0.88269,0.5633,1.19506,0.92242,1.53726,0.0011719,0.0011719,0.0011719
17,485.595,1.02175,0.7512,1.27764,0.94261,0.84649,0.92621,0.60861,1.1397,0.7958,1.50772,0.00113889,0.00113889,0.00113889
18,513.261,0.95532,0.70898,1.24509,0.93036,0.8424,0.92524,0.60005,1.16139,0.80329,1.54735,0.00110589,0.00110589,0.00110589
19,541,0.94685,0.71106,1.24976,0.92685,0.86002,0.9386,0.63415,1.09653,0.71081,1.46162,0.00107288,0.00107288,0.00107288
20,568.586,0.96084,0.70525,1.25797,0.92084,0.85087,0.91564,0.61519,1.12919,0.818,1.48822,0.00103987,0.00103987,0.00103987
21,596.341,0.95181,0.68466,1.24244,0.90645,0.88137,0.92842,0.62924,1.07865,0.75471,1.46354,0.00100687,0.00100687,0.00100687
22,623.986,0.94067,0.67109,1.23444,0.91352,0.85615,0.92346,0.62951,1.09123,0.71106,1.42936,0.000973861,0.000973861,0.000973861
23,652.174,0.96578,0.66187,1.22945,0.91476,0.86199,0.9178,0.6231,1.09053,0.77509,1.44528,0.000940855,0.000940855,0.000940855
24,679.959,0.90855,0.6258,1.20967,0.93333,0.84401,0.92362,0.61586,1.11699,0.73572,1.52214,0.000907848,0.000907848,0.000907848
