epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5161,0.999,2.86687,1.36097,0.00795,0.72743,0.26014,0.18025,0.83897,3.04048,1.22572,0.00025005,0.00025005,0.00025005
2,23.6371,0.95871,1.89211,1.27388,0.00858,0.80339,0.2954,0.20434,0.9478,2.88335,1.29318,0.000511654,0.000511654,0.000511654
3,31.783,0.99331,1.48509,1.31307,0.98078,0.18663,0.6586,0.4583,1.01249,2.48855,1.37227,0.000767977,0.000767977,0.000767977
4,40.2544,0.99914,1.35071,1.31102,0.84117,0.26119,0.66209,0.45185,1.12653,2.27981,1.78116,0.00101902,0.00101902,0.00101902
5,47.8434,1.03451,1.34875,1.34978,0.71578,0.50169,0.68924,0.44401,1.13144,1.94937,1.59541,0.00126478,0.00126478,0.00126478
6,56.2152,1.0318,1.35282,1.35215,0.71172,0.61469,0.68773,0.43026,1.24029,1.68487,1.76322,0.00150526,0.00150526,0.00150526
7,64.6002,1.0112,1.25497,1.3047,0.576,0.67315,0.60562,0.37261,1.26874,2.05794,1.8713,0.00156798,0.00156798,0.00156798
8,72.2358,1.04334,1.25169,1.31651,0.67548,0.57152,0.6012,0.36675,1.34851,1.75509,1.7952,0.00155148,0.00155148,0.00155148
9,80.5507,1.05963,1.23683,1.36747,0.70802,0.58442,0.64026,0.3887,1.3947,1.6877,1.70895,0.00153497,0.00153497,0.00153497
10,88.3559,1.03131,1.20029,1.35523,0.66397,0.66231,0.65456,0.4008,1.32075,1.79731,1.8457,0.00151847,0.00151847,0.00151847
11,96.263,1.02486,1.19398,1.34488,0.72934,0.68879,0.75817,0.47241,1.24694,1.36446,1.57729,0.00150197,0.00150197,0.00150197
12,104.59,0.97025,1.09293,1.30154,0.74805,0.61918,0.71185,0.4297,1.26315,1.44315,1.58256,0.00148546,0.00148546,0.00148546
13,112.047,0.95937,1.10724,1.29549,0.75523,0.65303,0.71599,0.47269,1.16573,1.33318,1.53946,0.00146896,0.00146896,0.00146896
14,120.189,0.9201,1.03718,1.26564,0.82037,0.64117,0.75006,0.47224,1.23801,1.50507,1.6356,0.00145246,0.00145246,0.00145246
15,128.41,0.93867,1.00245,1.24273,0.78623,0.71953,0.74722,0.46926,1.19933,1.33031,1.55701,0.00143595,0.00143595,0.00143595
16,135.846,0.92088,1.04839,1.26078,0.84958,0.68692,0.77757,0.46785,1.23618,1.21577,1.68357,0.00141945,0.00141945,0.00141945
17,144.521,0.94306,1.03381,1.27161,0.73958,0.76619,0.7493,0.48903,1.09855,1.24384,1.41164,0.00140295,0.00140295,0.00140295
18,152.239,0.85601,0.92617,1.21873,0.83349,0.68683,0.75763,0.50462,1.16718,1.24736,1.57733,0.00138644,0.00138644,0.00138644
19,160.192,0.94404,0.9592,1.27503,0.78232,0.71222,0.7787,0.52508,1.13079,1.2435,1.47685,0.00136994,0.00136994,0.00136994
20,168.373,0.89663,0.95033,1.2486,0.8314,0.71724,0.79378,0.55608,1.05425,1.08082,1.41822,0.00135344,0.00135344,0.00135344
21,175.846,0.88923,0.94094,1.26065,0.87298,0.72764,0.80141,0.55597,1.08055,0.9888,1.46286,0.00133693,0.00133693,0.00133693
22,184.234,0.88168,0.90474,1.2255,0.8429,0.72857,0.81499,0.5745,1.04334,1.03454,1.40331,0.00132043,0.00132043,0.00132043
23,192.471,0.84855,0.89324,1.21931,0.85773,0.69112,0.79856,0.56634,1.06428,1.04471,1.43096,0.00130393,0.00130393,0.00130393
24,199.9,0.86291,0.86961,1.20596,0.84037,0.72939,0.79118,0.55395,1.09612,0.98263,1.39686,0.00128742,0.00128742,0.00128742
25,208.319,0.88339,0.87758,1.25487,0.85106,0.69733,0.79655,0.54799,1.0607,1.01497,1.36448,0.00127092,0.00127092,0.00127092
26,215.845,0.83295,0.83434,1.20031,0.89994,0.70709,0.80786,0.55306,1.04244,0.95875,1.40392,0.00125442,0.00125442,0.00125442
27,224.092,0.82018,0.80579,1.18978,0.79159,0.71891,0.7564,0.52913,1.07823,0.98808,1.37085,0.00123791,0.00123791,0.00123791
28,232.297,0.82335,0.81653,1.1858,0.82675,0.73883,0.79827,0.56273,1.05291,0.95444,1.45974,0.00122141,0.00122141,0.00122141
29,239.967,0.81137,0.80905,1.18813,0.85621,0.72038,0.79578,0.56596,1.03269,0.91756,1.3865,0.00120491,0.00120491,0.00120491
30,248.426,0.83535,0.83623,1.17914,0.83191,0.73916,0.79445,0.56643,1.03582,0.94274,1.44073,0.0011884,0.0011884,0.0011884
31,256.678,0.80346,0.78805,1.17517,0.87108,0.73239,0.79258,0.55454,1.04252,0.94388,1.44877,0.0011719,0.0011719,0.0011719
32,264.302,0.81181,0.79538,1.20655,0.91414,0.72344,0.81616,0.57529,1.00186,0.91967,1.35852,0.0011554,0.0011554,0.0011554
33,272.577,0.81903,0.79099,1.1873,0.88295,0.71755,0.79438,0.5406,1.05607,1.01889,1.43714,0.00113889,0.00113889,0.00113889
34,280.112,0.81777,0.77619,1.17971,0.84456,0.69581,0.7724,0.52072,1.15673,1.04039,1.46398,0.00112239,0.00112239,0.00112239
35,288.338,0.76135,0.74675,1.16575,0.89166,0.74247,0.81923,0.59069,1.03948,0.88881,1.4002,0.00110589,0.00110589,0.00110589
36,296.629,0.755,0.72073,1.16948,0.87731,0.6951,0.79849,0.55126,1.09431,0.99565,1.44583,0.00108938,0.00108938,0.00108938
37,304.177,0.74658,0.72867,1.14068,0.85434,0.72801,0.799,0.55022,1.11444,0.97471,1.4594,0.00107288,0.00107288,0.00107288
38,312.555,0.80571,0.7459,1.16544,0.88293,0.73972,0.79902,0.54734,1.1463,0.95064,1.48204,0.00105638,0.00105638,0.00105638
39,320.442,0.7479,0.69887,1.11845,0.87802,0.74956,0.84056,0.60131,1.02947,0.84413,1.35582,0.00103987,0.00103987,0.00103987
40,328.221,0.77472,0.70125,1.14424,0.90134,0.72896,0.82744,0.60653,0.96412,0.86194,1.33279,0.00102337,0.00102337,0.00102337
41,336.502,0.72422,0.67738,1.12786,0.79953,0.75697,0.80464,0.563,1.12518,0.98873,1.54384,0.00100687,0.00100687,0.00100687
42,344.029,0.73511,0.69086,1.14487,0.89178,0.69714,0.81906,0.56943,1.04459,0.93182,1.43449,0.000990365,0.000990365,0.000990365
43,352.328,0.73183,0.68192,1.12294,0.82576,0.7912,0.82831,0.59466,0.963,0.82981,1.33619,0.000973861,0.000973861,0.000973861
44,360.65,0.74685,0.67835,1.13016,0.88564,0.74582,0.83732,0.59821,0.97033,0.8116,1.33534,0.000957358,0.000957358,0.000957358
45,368.215,0.71746,0.6783,1.12498,0.84447,0.78234,0.83596,0.60222,0.99817,0.84742,1.35528,0.000940855,0.000940855,0.000940855
46,376.649,0.75339,0.6761,1.15177,0.88789,0.74209,0.82321,0.6019,0.98129,0.91465,1.33916,0.000924352,0.000924352,0.000924352
47,384.384,0.70156,0.63264,1.12907,0.86442,0.72648,0.81263,0.59456,0.99026,0.9609,1.32597,0.000907848,0.000907848,0.000907848
48,392.296,0.70289,0.63104,1.10881,0.87512,0.7279,0.80488,0.60506,0.92427,0.88807,1.26635,0.000891345,0.000891345,0.000891345
49,400.553,0.73145,0.66113,1.11311,0.86974,0.77131,0.82692,0.60415,0.90654,0.83321,1.22443,0.000874842,0.000874842,0.000874842
50,408.157,0.72557,0.67211,1.11772,0.8684,0.76812,0.8277,0.61462,0.9326,0.79061,1.25796,0.000858338,0.000858338,0.000858338
51,416.38,0.69249,0.62609,1.09318,0.84618,0.77639,0.82229,0.61219,0.9424,0.81205,1.28212,0.000841835,0.000841835,0.000841835
52,424.612,0.67383,0.61697,1.09224,0.8907,0.76669,0.82559,0.59925,0.95912,0.79227,1.31361,0.000825332,0.000825332,0.000825332
53,432.107,0.65946,0.60048,1.09992,0.89014,0.74184,0.83373,0.62106,0.90443,0.78868,1.24383,0.000808828,0.000808828,0.000808828
54,440.485,0.70878,0.61654,1.106,0.83893,0.77532,0.83777,0.62,0.94249,0.77464,1.28702,0.000792325,0.000792325,0.000792325
55,448.162,0.69826,0.61497,1.10244,0.91037,0.74582,0.81994,0.59345,0.97292,0.84732,1.29453,0.000775822,0.000775822,0.000775822
56,456.063,0.69114,0.60676,1.08716,0.91767,0.7133,0.82428,0.60624,0.91475,0.83591,1.26407,0.000759318,0.000759318,0.000759318
57,464.463,0.69315,0.62225,1.11925,0.88745,0.77584,0.83222,0.6327,0.90162,0.80915,1.23657,0.000742815,0.000742815,0.000742815
58,471.95,0.66062,0.61973,1.08764,0.90943,0.78893,0.84286,0.63099,0.92679,0.76077,1.24272,0.000726312,0.000726312,0.000726312
59,480.256,0.67984,0.6054,1.11009,0.87088,0.82338,0.84862,0.61665,0.93682,0.77404,1.25513,0.000709809,0.000709809,0.000709809
60,488.219,0.64486,0.56604,1.08594,0.87956,0.77895,0.85288,0.63928,0.92044,0.79139,1.27292,0.000693305,0.000693305,0.000693305
61,496.094,0.65281,0.6003,1.0697,0.88006,0.77837,0.83881,0.63019,0.90956,0.79666,1.2753,0.000676802,0.000676802,0.000676802
62,504.25,0.65327,0.59254,1.07163,0.85606,0.76775,0.83398,0.62481,0.90798,0.78199,1.279,0.000660299,0.000660299,0.000660299
63,511.749,0.61923,0.57964,1.07244,0.86472,0.77488,0.84628,0.63032,0.92918,0.75808,1.27565,0.000643795,0.000643795,0.000643795
64,519.909,0.63643,0.54951,1.06067,0.85431,0.83573,0.86152,0.6536,0.89357,0.68769,1.25004,0.000627292,0.000627292,0.000627292
65,528.145,0.61672,0.54128,1.04379,0.92238,0.77265,0.84532,0.64295,0.87334,0.71162,1.24222,0.000610789,0.000610789,0.000610789
66,535.613,0.60549,0.55037,1.03542,0.8636,0.78829,0.83756,0.63439,0.90891,0.72462,1.26816,0.000594286,0.000594286,0.000594286
67,543.918,0.61341,0.537,1.03544,0.85421,0.79536,0.84528,0.65083,0.84072,0.69977,1.19798,0.000577782,0.000577782,0.000577782
68,551.775,0.599,0.53332,1.04039,0.87338,0.80902,0.86353,0.66644,0.85246,0.68641,1.21203,0.000561279,0.000561279,0.000561279
69,559.617,0.62069,0.54078,1.06211,0.87493,0.79387,0.86296,0.6618,0.86013,0.72015,1.22171,0.000544776,0.000544776,0.000544776
